time,cdf
4.642000000000000000e+03,3.706357477853048366e-01
4.643000000000000000e+03,3.707660239708181482e-01
4.644000000000000000e+03,3.708963001563314044e-01
4.645000000000000000e+03,3.710265763418447160e-01
4.646000000000000000e+03,3.711568525273579722e-01
4.647000000000000000e+03,3.712871287128712838e-01
4.648000000000000000e+03,3.714174048983845955e-01
4.649000000000000000e+03,3.715476810838978516e-01
4.650000000000000000e+03,3.716779572694111633e-01
4.651000000000000000e+03,3.718082334549244194e-01
4.652000000000000000e+03,3.719385096404377311e-01
4.653000000000000000e+03,3.720687858259510428e-01
4.654000000000000000e+03,3.721990620114642989e-01
4.655000000000000000e+03,3.723293381969776106e-01
4.656000000000000000e+03,3.724596143824908667e-01
4.657000000000000000e+03,3.725898905680041784e-01
4.658000000000000000e+03,3.727201667535174345e-01
4.659000000000000000e+03,3.728504429390307462e-01
4.660000000000000000e+03,3.729807191245440579e-01
4.661000000000000000e+03,3.731109953100573140e-01
4.662000000000000000e+03,3.732412714955706257e-01
4.663000000000000000e+03,3.733715476810838818e-01
4.664000000000000000e+03,3.735018238665971935e-01
4.665000000000000000e+03,3.736321000521104496e-01
4.666000000000000000e+03,3.737623762376237613e-01
4.667000000000000000e+03,3.738926524231370729e-01
4.668000000000000000e+03,3.740229286086503291e-01
4.669000000000000000e+03,3.741532047941636407e-01
4.670000000000000000e+03,3.742834809796768969e-01
4.671000000000000000e+03,3.744137571651902086e-01
4.672000000000000000e+03,3.745440333507034647e-01
4.673000000000000000e+03,3.746743095362167764e-01
4.674000000000000000e+03,3.748045857217300880e-01
4.675000000000000000e+03,3.749348619072433442e-01
4.676000000000000000e+03,3.750651380927566558e-01
4.677000000000000000e+03,3.751954142782699120e-01
4.678000000000000000e+03,3.753256904637832236e-01
4.679000000000000000e+03,3.754559666492965353e-01
4.680000000000000000e+03,3.755862428348097914e-01
4.681000000000000000e+03,3.757165190203231031e-01
4.682000000000000000e+03,3.758467952058363593e-01
4.683000000000000000e+03,3.759770713913496709e-01
4.684000000000000000e+03,3.761073475768629271e-01
4.685000000000000000e+03,3.762376237623762387e-01
4.686000000000000000e+03,3.763678999478895504e-01
4.687000000000000000e+03,3.764981761334028065e-01
4.688000000000000000e+03,3.766284523189161182e-01
4.689000000000000000e+03,3.767587285044293743e-01
4.690000000000000000e+03,3.768890046899426860e-01
4.691000000000000000e+03,3.770192808754559421e-01
4.692000000000000000e+03,3.771495570609692538e-01
4.693000000000000000e+03,3.772798332464825655e-01
4.694000000000000000e+03,3.774101094319958216e-01
4.695000000000000000e+03,3.775403856175091333e-01
4.696000000000000000e+03,3.776706618030223894e-01
4.697000000000000000e+03,3.778009379885357011e-01
4.698000000000000000e+03,3.779312141740489572e-01
4.699000000000000000e+03,3.780614903595622689e-01
4.700000000000000000e+03,3.781917665450755806e-01
4.701000000000000000e+03,3.783220427305888367e-01
4.702000000000000000e+03,3.784523189161021484e-01
4.703000000000000000e+03,3.785825951016154045e-01
4.704000000000000000e+03,3.787128712871287162e-01
4.705000000000000000e+03,3.788431474726420278e-01
4.706000000000000000e+03,3.789734236581552840e-01
4.707000000000000000e+03,3.791036998436685956e-01
4.708000000000000000e+03,3.792339760291818518e-01
4.709000000000000000e+03,3.793642522146951634e-01
4.710000000000000000e+03,3.794945284002084196e-01
