time_0,x_0,y_0,time_1,x_1,y_1,time_2,x_2,y_2,time_3,x_3,y_3,time_4,x_4,y_4,time_5,x_5,y_5,time_6,x_6,y_6
0.000000000000000000e+00,8.525000000000000355e-01,1.524999999999999967e-01,0.000000000000000000e+00,3.624999999999999889e-01,3.175000000000000044e-01,0.000000000000000000e+00,6.374999999999999556e-01,3.125000000000000000e-01,0.000000000000000000e+00,8.525000000000000355e-01,4.974999999999999978e-01,0.000000000000000000e+00,6.925000000000000044e-01,9.750000000000000333e-02,0.000000000000000000e+00,6.424999999999999600e-01,6.724999999999999867e-01,0.000000000000000000e+00,2.924999999999999822e-01,5.574999999999999956e-01
0.000000000000000000e+00,8.475000000000000311e-01,1.024999999999999939e-01,1.310000000000000000e+02,3.125000000000000000e-01,3.225000000000000089e-01,7.500000000000000000e+01,5.875000000000000222e-01,3.175000000000000044e-01,6.900000000000000000e+01,8.024999999999999911e-01,5.024999999999999467e-01,4.300000000000000000e+01,6.875000000000000000e-01,4.750000000000000056e-02,1.460000000000000000e+02,5.925000000000000266e-01,6.774999999999999911e-01,1.930000000000000000e+02,2.424999999999999933e-01,5.625000000000000000e-01
1.100000000000000000e+01,8.425000000000000266e-01,5.249999999999999806e-02,1.420000000000000000e+02,2.625000000000000111e-01,3.275000000000000133e-01,8.600000000000000000e+01,5.374999999999999778e-01,3.225000000000000089e-01,8.000000000000000000e+01,7.974999999999999867e-01,5.524999999999999911e-01,5.400000000000000000e+01,6.374999999999999556e-01,4.250000000000000305e-02,1.570000000000000000e+02,5.424999999999999822e-01,6.824999999999999956e-01,2.040000000000000000e+02,1.925000000000000044e-01,5.675000000000000044e-01
2.200000000000000000e+01,8.375000000000000222e-01,2.500000000000000052e-03,1.530000000000000000e+02,2.124999999999999944e-01,3.325000000000000178e-01,9.700000000000000000e+01,4.874999999999999889e-01,3.275000000000000133e-01,9.100000000000000000e+01,7.475000000000000533e-01,5.574999999999999956e-01,6.500000000000000000e+01,5.875000000000000222e-01,3.749999999999999861e-02,1.680000000000000000e+02,4.924999999999999933e-01,6.875000000000000000e-01,2.150000000000000000e+02,1.424999999999999878e-01,5.725000000000000089e-01
3.300000000000000000e+01,7.874999999999999778e-01,7.499999999999999722e-03,1.640000000000000000e+02,1.625000000000000056e-01,3.375000000000000222e-01,1.080000000000000000e+02,4.375000000000000000e-01,3.325000000000000178e-01,1.020000000000000000e+02,7.425000000000000488e-01,6.075000000000000400e-01,7.600000000000000000e+01,5.374999999999999778e-01,3.250000000000000111e-02,1.790000000000000000e+02,4.425000000000000044e-01,6.925000000000000044e-01,2.260000000000000000e+02,9.249999999999999889e-02,5.775000000000000133e-01
4.400000000000000000e+01,7.375000000000000444e-01,1.250000000000000069e-02,1.750000000000000000e+02,1.125000000000000028e-01,3.425000000000000266e-01,1.190000000000000000e+02,3.875000000000000111e-01,3.375000000000000222e-01,1.130000000000000000e+02,6.925000000000000044e-01,6.125000000000000444e-01,8.700000000000000000e+01,4.874999999999999889e-01,2.750000000000000014e-02,1.900000000000000000e+02,3.925000000000000155e-01,6.975000000000000089e-01,2.370000000000000000e+02,4.250000000000000305e-02,5.825000000000000178e-01
5.500000000000000000e+01,7.325000000000000400e-01,6.250000000000000000e-02,1.860000000000000000e+02,6.250000000000000000e-02,3.474999999999999756e-01,1.300000000000000000e+02,3.825000000000000067e-01,3.875000000000000111e-01,1.260000000000000000e+02,6.875000000000000000e-01,6.624999999999999778e-01,9.800000000000000000e+01,4.375000000000000000e-01,2.249999999999999917e-02,2.010000000000000000e+02,3.875000000000000111e-01,7.475000000000000533e-01,2.480000000000000000e+02,3.749999999999999861e-02,6.324999999999999512e-01
6.600000000000000000e+01,7.824999999999999734e-01,6.750000000000000444e-02,1.970000000000000000e+02,1.250000000000000069e-02,3.524999999999999800e-01,1.410000000000000000e+02,3.325000000000000178e-01,3.925000000000000155e-01,1.370000000000000000e+02,7.375000000000000444e-01,6.674999999999999822e-01,1.090000000000000000e+02,3.875000000000000111e-01,1.750000000000000167e-02,2.120000000000000000e+02,4.375000000000000000e-01,7.524999999999999467e-01,2.590000000000000000e+02,8.749999999999999445e-02,6.374999999999999556e-01
7.700000000000000000e+01,7.774999999999999689e-01,1.174999999999999933e-01,2.080000000000000000e+02,7.499999999999999722e-03,4.025000000000000244e-01,1.520000000000000000e+02,3.275000000000000133e-01,4.425000000000000044e-01,1.480000000000000000e+02,7.874999999999999778e-01,6.724999999999999867e-01,1.200000000000000000e+02,3.375000000000000222e-01,1.250000000000000069e-02,2.230000000000000000e+02,4.874999999999999889e-01,7.574999999999999512e-01,2.700000000000000000e+02,1.375000000000000111e-01,6.424999999999999600e-01
8.800000000000000000e+01,7.275000000000000355e-01,1.224999999999999978e-01,2.190000000000000000e+02,5.750000000000000250e-02,4.074999999999999734e-01,1.630000000000000000e+02,3.775000000000000022e-01,4.475000000000000089e-01,1.590000000000000000e+02,8.375000000000000222e-01,6.774999999999999911e-01,1.310000000000000000e+02,2.874999999999999778e-01,7.499999999999999722e-03,2.340000000000000000e+02,5.374999999999999778e-01,7.624999999999999556e-01,2.810000000000000000e+02,1.875000000000000000e-01,6.474999999999999645e-01
