time_0,x_0,y_0,time_1,x_1,y_1,time_2,x_2,y_2,time_3,x_3,y_3,time_4,x_4,y_4,time_5,x_5,y_5,time_6,x_6,y_6
0.000000000000000000e+00,8.499999999999999778e-01,1.500000000000000222e-01,0.000000000000000000e+00,8.499999999999999778e-01,1.500000000000000222e-01,0.000000000000000000e+00,8.499999999999999778e-01,1.500000000000000222e-01,0.000000000000000000e+00,8.499999999999999778e-01,1.500000000000000222e-01,0.000000000000000000e+00,8.499999999999999778e-01,1.500000000000000222e-01,0.000000000000000000e+00,8.499999999999999778e-01,1.500000000000000222e-01,0.000000000000000000e+00,8.499999999999999778e-01,1.500000000000000222e-01
1.000000000000000000e+00,8.525000000000000355e-01,1.474999999999999922e-01,1.000000000000000000e+00,8.475000000000000311e-01,1.524999999999999967e-01,1.000000000000000000e+00,8.475000000000000311e-01,1.524999999999999967e-01,1.000000000000000000e+00,8.525000000000000355e-01,1.575000000000000011e-01,1.000000000000000000e+00,8.525000000000000355e-01,1.474999999999999922e-01,1.000000000000000000e+00,8.475000000000000311e-01,1.524999999999999967e-01,1.000000000000000000e+00,8.475000000000000311e-01,1.524999999999999967e-01
2.000000000000000000e+00,8.525000000000000355e-01,1.424999999999999878e-01,2.000000000000000000e+00,8.425000000000000266e-01,1.524999999999999967e-01,2.000000000000000000e+00,8.425000000000000266e-01,1.524999999999999967e-01,2.000000000000000000e+00,8.525000000000000355e-01,1.625000000000000056e-01,2.000000000000000000e+00,8.525000000000000355e-01,1.424999999999999878e-01,2.000000000000000000e+00,8.425000000000000266e-01,1.524999999999999967e-01,2.000000000000000000e+00,8.425000000000000266e-01,1.524999999999999967e-01
3.000000000000000000e+00,8.525000000000000355e-01,1.375000000000000111e-01,3.000000000000000000e+00,8.375000000000000222e-01,1.524999999999999967e-01,3.000000000000000000e+00,8.375000000000000222e-01,1.524999999999999967e-01,3.000000000000000000e+00,8.525000000000000355e-01,1.675000000000000100e-01,3.000000000000000000e+00,8.525000000000000355e-01,1.375000000000000111e-01,3.000000000000000000e+00,8.375000000000000222e-01,1.524999999999999967e-01,3.000000000000000000e+00,8.375000000000000222e-01,1.524999999999999967e-01
4.000000000000000000e+00,8.525000000000000355e-01,1.325000000000000067e-01,4.000000000000000000e+00,8.325000000000000178e-01,1.524999999999999967e-01,4.000000000000000000e+00,8.325000000000000178e-01,1.524999999999999967e-01,4.000000000000000000e+00,8.525000000000000355e-01,1.724999999999999867e-01,4.000000000000000000e+00,8.525000000000000355e-01,1.325000000000000067e-01,4.000000000000000000e+00,8.325000000000000178e-01,1.524999999999999967e-01,4.000000000000000000e+00,8.325000000000000178e-01,1.524999999999999967e-01
5.000000000000000000e+00,8.525000000000000355e-01,1.275000000000000022e-01,5.000000000000000000e+00,8.275000000000000133e-01,1.524999999999999967e-01,5.000000000000000000e+00,8.275000000000000133e-01,1.524999999999999967e-01,5.000000000000000000e+00,8.525000000000000355e-01,1.774999999999999911e-01,5.000000000000000000e+00,8.525000000000000355e-01,1.275000000000000022e-01,5.000000000000000000e+00,8.275000000000000133e-01,1.524999999999999967e-01,5.000000000000000000e+00,8.275000000000000133e-01,1.524999999999999967e-01
6.000000000000000000e+00,8.525000000000000355e-01,1.224999999999999978e-01,6.000000000000000000e+00,8.225000000000000089e-01,1.524999999999999967e-01,6.000000000000000000e+00,8.225000000000000089e-01,1.524999999999999967e-01,6.000000000000000000e+00,8.525000000000000355e-01,1.824999999999999956e-01,6.000000000000000000e+00,8.525000000000000355e-01,1.224999999999999978e-01,6.000000000000000000e+00,8.225000000000000089e-01,1.524999999999999967e-01,6.000000000000000000e+00,8.225000000000000089e-01,1.524999999999999967e-01
7.000000000000000000e+00,8.525000000000000355e-01,1.174999999999999933e-01,7.000000000000000000e+00,8.175000000000000044e-01,1.524999999999999967e-01,7.000000000000000000e+00,8.175000000000000044e-01,1.524999999999999967e-01,7.000000000000000000e+00,8.525000000000000355e-01,1.875000000000000000e-01,7.000000000000000000e+00,8.525000000000000355e-01,1.174999999999999933e-01,7.000000000000000000e+00,8.175000000000000044e-01,1.524999999999999967e-01,7.000000000000000000e+00,8.175000000000000044e-01,1.524999999999999967e-01
8.000000000000000000e+00,8.525000000000000355e-01,1.125000000000000028e-01,8.000000000000000000e+00,8.125000000000000000e-01,1.524999999999999967e-01,8.000000000000000000e+00,8.125000000000000000e-01,1.524999999999999967e-01,8.000000000000000000e+00,8.525000000000000355e-01,1.925000000000000044e-01,8.000000000000000000e+00,8.525000000000000355e-01,1.125000000000000028e-01,8.000000000000000000e+00,8.125000000000000000e-01,1.524999999999999967e-01,8.000000000000000000e+00,8.125000000000000000e-01,1.524999999999999967e-01
9.000000000000000000e+00,8.525000000000000355e-01,1.074999999999999983e-01,9.000000000000000000e+00,8.074999999999999956e-01,1.524999999999999967e-01,9.000000000000000000e+00,8.074999999999999956e-01,1.524999999999999967e-01,9.000000000000000000e+00,8.525000000000000355e-01,1.975000000000000089e-01,9.000000000000000000e+00,8.525000000000000355e-01,1.074999999999999983e-01,9.000000000000000000e+00,8.074999999999999956e-01,1.524999999999999967e-01,9.000000000000000000e+00,8.074999999999999956e-01,1.524999999999999967e-01
