time,cdf
1.094000000000000000e+03,6.285060103033772716e-01
1.095000000000000000e+03,6.296508299942759068e-01
1.096000000000000000e+03,6.307956496851745420e-01
1.097000000000000000e+03,6.319404693760732883e-01
1.098000000000000000e+03,6.330852890669719235e-01
1.099000000000000000e+03,6.342301087578706698e-01
1.100000000000000000e+03,6.353749284487693050e-01
1.101000000000000000e+03,6.365197481396680512e-01
1.102000000000000000e+03,6.376645678305666864e-01
1.103000000000000000e+03,6.388093875214653217e-01
1.104000000000000000e+03,6.399542072123640679e-01
1.105000000000000000e+03,6.410990269032627031e-01
1.106000000000000000e+03,6.422438465941614494e-01
1.107000000000000000e+03,6.433886662850600846e-01
1.108000000000000000e+03,6.445334859759588308e-01
1.109000000000000000e+03,6.456783056668574661e-01
1.110000000000000000e+03,6.468231253577561013e-01
1.111000000000000000e+03,6.479679450486548475e-01
1.112000000000000000e+03,6.491127647395534828e-01
1.113000000000000000e+03,6.502575844304522290e-01
1.114000000000000000e+03,6.514024041213508642e-01
1.115000000000000000e+03,6.525472238122496105e-01
1.116000000000000000e+03,6.536920435031482457e-01
1.117000000000000000e+03,6.548368631940469919e-01
1.118000000000000000e+03,6.559816828849456272e-01
1.119000000000000000e+03,6.571265025758442624e-01
1.120000000000000000e+03,6.582713222667430086e-01
1.121000000000000000e+03,6.594161419576416439e-01
1.122000000000000000e+03,6.605609616485403901e-01
1.123000000000000000e+03,6.617057813394390253e-01
1.124000000000000000e+03,6.628506010303377716e-01
1.125000000000000000e+03,6.639954207212364068e-01
1.126000000000000000e+03,6.651402404121350420e-01
1.127000000000000000e+03,6.662850601030337883e-01
1.128000000000000000e+03,6.674298797939324235e-01
1.129000000000000000e+03,6.685746994848311697e-01
1.130000000000000000e+03,6.697195191757298049e-01
1.131000000000000000e+03,6.708643388666285512e-01
1.132000000000000000e+03,6.720091585575271864e-01
1.133000000000000000e+03,6.731539782484258216e-01
1.134000000000000000e+03,6.742987979393245679e-01
1.135000000000000000e+03,6.754436176302232031e-01
1.136000000000000000e+03,6.765884373211219494e-01
1.137000000000000000e+03,6.777332570120205846e-01
1.138000000000000000e+03,6.783056668574699577e-01
1.139000000000000000e+03,6.788780767029193308e-01
1.140000000000000000e+03,6.794504865483685929e-01
1.141000000000000000e+03,6.800228963938179660e-01
1.142000000000000000e+03,6.805953062392673392e-01
1.143000000000000000e+03,6.811677160847167123e-01
1.144000000000000000e+03,6.817401259301659744e-01
1.145000000000000000e+03,6.823125357756153475e-01
1.146000000000000000e+03,6.828849456210647206e-01
1.147000000000000000e+03,6.834573554665139827e-01
1.148000000000000000e+03,6.840297653119633559e-01
1.149000000000000000e+03,6.846021751574127290e-01
1.150000000000000000e+03,6.851745850028621021e-01
1.151000000000000000e+03,6.857469948483113642e-01
1.152000000000000000e+03,6.863194046937607373e-01
1.153000000000000000e+03,6.868918145392101104e-01
1.154000000000000000e+03,6.874642243846593725e-01
1.155000000000000000e+03,6.880366342301087457e-01
1.156000000000000000e+03,6.886090440755581188e-01
1.157000000000000000e+03,6.891814539210074919e-01
1.158000000000000000e+03,6.897538637664567540e-01
1.159000000000000000e+03,6.903262736119061271e-01
1.160000000000000000e+03,6.908986834573555003e-01
1.161000000000000000e+03,6.914710933028047624e-01
1.162000000000000000e+03,6.920435031482541355e-01
1.163000000000000000e+03,6.926159129937035086e-01
1.164000000000000000e+03,6.931883228391528817e-01
1.165000000000000000e+03,6.937607326846021438e-01
1.166000000000000000e+03,6.943331425300515169e-01
1.167000000000000000e+03,6.949055523755008901e-01
1.168000000000000000e+03,6.954779622209501522e-01
1.169000000000000000e+03,6.960503720663995253e-01
1.170000000000000000e+03,6.966227819118488984e-01
1.171000000000000000e+03,6.971951917572982715e-01
1.172000000000000000e+03,6.977676016027475336e-01
1.173000000000000000e+03,6.983400114481969068e-01
1.174000000000000000e+03,6.989124212936462799e-01
1.175000000000000000e+03,6.994848311390955420e-01
1.176000000000000000e+03,7.000572409845449151e-01
1.177000000000000000e+03,7.006296508299942882e-01
1.178000000000000000e+03,7.012020606754436614e-01
1.179000000000000000e+03,7.017744705208929235e-01
1.180000000000000000e+03,7.023468803663422966e-01
1.181000000000000000e+03,7.029192902117916697e-01
1.182000000000000000e+03,7.034917000572409318e-01
1.183000000000000000e+03,7.040641099026903049e-01
1.184000000000000000e+03,7.046365197481396780e-01
1.185000000000000000e+03,7.052089295935890512e-01
