time_0,x_0,y_0,time_1,x_1,y_1,time_2,x_2,y_2
1.000000000000000000e+00,7.366666666666666918e-01,2.666666666666666630e-01,1.000000000000000000e+00,6.133333333333332860e-01,2.666666666666666630e-01,1.000000000000000000e+00,4.866666666666666363e-01,5.066666666666665986e-01
3.000000000000000000e+00,7.399999999999999911e-01,2.666666666666666630e-01,3.600000000000000000e+01,5.999999999999999778e-01,2.666666666666666630e-01,1.460000000000000000e+02,4.899999999999999911e-01,5.333333333333333259e-01
5.000000000000000000e+00,7.433333333333334014e-01,2.666666666666666630e-01,4.100000000000000000e+01,5.766666666666666607e-01,2.833333333333333259e-01,1.550000000000000000e+02,4.899999999999999911e-01,5.433333333333333348e-01
7.000000000000000000e+00,7.466666666666665897e-01,2.666666666666666630e-01,5.400000000000000000e+01,5.500000000000000444e-01,2.633333333333333637e-01,1.580000000000000000e+02,4.899999999999999911e-01,5.500000000000000444e-01
9.000000000000000000e+00,7.500000000000000000e-01,2.666666666666666630e-01,6.700000000000000000e+01,5.600000000000000533e-01,2.333333333333333370e-01,1.620000000000000000e+02,4.899999999999999911e-01,5.700000000000000622e-01
1.100000000000000000e+01,7.533333333333334103e-01,2.666666666666666630e-01,7.800000000000000000e+01,5.399999999999999245e-01,3.033333333333333437e-01,1.690000000000000000e+02,4.899999999999999911e-01,5.899999999999999689e-01
1.300000000000000000e+01,7.566666666666665986e-01,2.666666666666666630e-01,1.020000000000000000e+02,5.533333333333333437e-01,2.033333333333333104e-01,1.750000000000000000e+02,4.566666666666666652e-01,5.433333333333333348e-01
1.500000000000000000e+01,7.600000000000000089e-01,2.666666666666666630e-01,1.330000000000000000e+02,5.100000000000000089e-01,2.333333333333333370e-01,1.960000000000000000e+02,4.899999999999999911e-01,6.133333333333332860e-01
1.700000000000000000e+01,7.633333333333333082e-01,2.666666666666666630e-01,1.520000000000000000e+02,5.833333333333333703e-01,1.966666666666666841e-01,2.240000000000000000e+02,4.266666666666666941e-01,5.799999999999999600e-01
1.900000000000000000e+01,7.666666666666667185e-01,2.666666666666666630e-01,1.820000000000000000e+02,5.000000000000000000e-01,2.633333333333333637e-01,2.500000000000000000e+02,4.566666666666666652e-01,6.433333333333333126e-01
2.100000000000000000e+01,6.999999999999999556e-01,2.666666666666666630e-01,2.240000000000000000e+02,5.433333333333333348e-01,3.300000000000000155e-01,2.750000000000000000e+02,5.200000000000000178e-01,6.099999999999999867e-01
4.100000000000000000e+01,7.966666666666666341e-01,2.666666666666666630e-01,2.560000000000000000e+02,4.699999999999999734e-01,2.866666666666666807e-01,3.030000000000000000e+02,4.600000000000000200e-01,6.733333333333333393e-01
6.800000000000000000e+01,7.166666666666666741e-01,2.999999999999999889e-01,2.880000000000000000e+02,5.600000000000000533e-01,3.533333333333333326e-01,3.370000000000000000e+02,5.500000000000000444e-01,6.199999999999999956e-01
9.900000000000000000e+01,7.100000000000000755e-01,2.333333333333333370e-01,3.320000000000000000e+02,4.466666666666666563e-01,2.699999999999999623e-01,3.770000000000000000e+02,5.333333333333333259e-01,6.866666666666667584e-01
1.200000000000000000e+02,6.999999999999999556e-01,3.233333333333333059e-01,3.880000000000000000e+02,5.233333333333333171e-01,3.833333333333333592e-01,3.990000000000000000e+02,4.433333333333333570e-01,6.966666666666666563e-01
1.490000000000000000e+02,7.966666666666666341e-01,2.999999999999999889e-01,4.420000000000000000e+02,5.833333333333333703e-01,3.133333333333333526e-01,4.300000000000000000e+02,5.399999999999999245e-01,7.166666666666666741e-01
1.820000000000000000e+02,8.066666666666666430e-01,2.366666666666666641e-01,4.800000000000000000e+02,6.133333333333332860e-01,2.066666666666666374e-01,4.640000000000000000e+02,4.600000000000000200e-01,7.266666666666666829e-01
2.050000000000000000e+02,8.066666666666666430e-01,3.399999999999999689e-01,5.220000000000000000e+02,5.666666666666666519e-01,1.666666666666666574e-01,4.900000000000000000e+02,4.199999999999999845e-01,7.133333333333332638e-01
2.350000000000000000e+02,7.166666666666666741e-01,3.533333333333333326e-01,5.470000000000000000e+02,4.333333333333333481e-01,2.433333333333333182e-01,5.050000000000000000e+02,5.333333333333333259e-01,7.500000000000000000e-01
2.650000000000000000e+02,6.700000000000000400e-01,3.266666666666667163e-01,6.100000000000000000e+02,5.100000000000000089e-01,4.133333333333333304e-01,5.470000000000000000e+02,5.700000000000000622e-01,7.100000000000000755e-01
2.860000000000000000e+02,6.966666666666666563e-01,2.066666666666666374e-01,6.820000000000000000e+02,4.366666666666666474e-01,3.933333333333333681e-01,5.690000000000000000e+02,5.266666666666667274e-01,7.799999999999999156e-01
3.290000000000000000e+02,6.400000000000000133e-01,3.266666666666667163e-01,7.070000000000000000e+02,4.766666666666666829e-01,4.433333333333333570e-01,6.000000000000000000e+02,5.999999999999999778e-01,7.433333333333334014e-01
3.790000000000000000e+02,7.066666666666666652e-01,3.833333333333333592e-01,7.310000000000000000e+02,4.100000000000000311e-01,4.266666666666666941e-01,6.300000000000000000e+02,5.866666666666666696e-01,6.866666666666667584e-01
4.150000000000000000e+02,7.966666666666666341e-01,3.699999999999999956e-01,7.530000000000000000e+02,4.800000000000000377e-01,1.466666666666666674e-01,6.500000000000000000e+02,6.266666666666667052e-01,7.633333333333333082e-01
4.450000000000000000e+02,8.366666666666666696e-01,3.300000000000000155e-01,8.570000000000000000e+02,5.733333333333333615e-01,1.366666666666666585e-01,6.820000000000000000e+02,5.466666666666666341e-01,8.100000000000000533e-01
4.700000000000000000e+02,8.366666666666666696e-01,2.500000000000000000e-01,8.890000000000000000e+02,6.266666666666667052e-01,1.766666666666666941e-01,7.190000000000000000e+02,6.066666666666666874e-01,8.033333333333333437e-01
4.950000000000000000e+02,8.666666666666666963e-01,3.300000000000000155e-01,9.160000000000000000e+02,5.866666666666666696e-01,1.066666666666666458e-01,7.360000000000000000e+02,5.333333333333333259e-01,8.366666666666666696e-01
5.270000000000000000e+02,8.433333333333333792e-01,3.733333333333332948e-01,9.460000000000000000e+02,5.033333333333332993e-01,1.166666666666666685e-01,7.650000000000000000e+02,5.000000000000000000e-01,7.933333333333333348e-01
5.460000000000000000e+02,8.966666666666666119e-01,3.200000000000000067e-01,9.730000000000000000e+02,4.333333333333333481e-01,1.399999999999999856e-01,7.870000000000000000e+02,5.500000000000000444e-01,8.666666666666666963e-01
5.750000000000000000e+02,8.733333333333332948e-01,2.833333333333333259e-01,1.002000000000000000e+03,4.933333333333333459e-01,8.000000000000001554e-02,8.210000000000000000e+02,4.800000000000000377e-01,8.499999999999999778e-01
5.920000000000000000e+02,9.266666666666666385e-01,3.166666666666666519e-01,1.035000000000000000e+03,4.199999999999999845e-01,1.000000000000000056e-01,8.440000000000000000e+02,5.799999999999999600e-01,8.599999999999999867e-01
6.150000000000000000e+02,8.800000000000000044e-01,2.533333333333332993e-01,1.060000000000000000e+03,4.033333333333333215e-01,1.433333333333333681e-01,8.740000000000000000e+02,6.333333333333333037e-01,8.233333333333333615e-01
6.450000000000000000e+02,9.533333333333333659e-01,2.800000000000000266e-01,1.079000000000000000e+03,3.899999999999999578e-01,8.999999999999998279e-02,9.000000000000000000e+02,5.999999999999999778e-01,8.900000000000000133e-01
6.720000000000000000e+02,9.333333333333333481e-01,3.466666666666666785e-01,1.098000000000000000e+03,3.733333333333332948e-01,1.499999999999999944e-01,9.270000000000000000e+02,6.633333333333333304e-01,8.366666666666666696e-01
