time_0,x_0,y_0,time_1,x_1,y_1,time_2,x_2,y_2
1.000000000000000000e+00,9.200000000000000400e-01,8.666666666666665575e-02,1.000000000000000000e+00,7.399999999999999911e-01,3.333333333333333287e-02,1.000000000000000000e+00,4.866666666666666363e-01,5.133333333333333082e-01
1.500000000000000000e+01,8.866666666666667140e-01,1.333333333333333315e-01,3.400000000000000000e+01,7.399999999999999911e-01,3.333333333333333287e-02,1.440000000000000000e+02,5.000000000000000000e-01,5.733333333333333615e-01
2.800000000000000000e+01,9.333333333333333481e-01,1.866666666666666474e-01,3.600000000000000000e+01,7.399999999999999911e-01,3.333333333333333287e-02,1.540000000000000000e+02,5.066666666666665986e-01,6.333333333333333037e-01
4.200000000000000000e+01,8.333333333333333703e-01,9.333333333333335147e-02,3.800000000000000000e+01,6.999999999999999556e-01,3.333333333333333287e-02,1.650000000000000000e+02,4.866666666666666363e-01,6.933333333333333570e-01
6.800000000000000000e+01,8.933333333333333126e-01,2.466666666666666730e-01,4.400000000000000000e+01,6.666666666666666297e-01,3.333333333333333287e-02,1.760000000000000000e+02,4.866666666666666363e-01,7.533333333333334103e-01
9.700000000000000000e+01,9.933333333333334014e-01,2.000000000000000111e-01,5.000000000000000000e+01,6.199999999999999956e-01,7.333333333333330595e-02,1.860000000000000000e+02,4.266666666666666941e-01,7.066666666666666652e-01
1.180000000000000000e+02,9.466666666666666563e-01,3.066666666666666430e-01,6.300000000000000000e+01,5.933333333333333792e-01,1.266666666666666774e-01,2.010000000000000000e+02,5.600000000000000533e-01,7.333333333333332815e-01
1.380000000000000000e+02,8.333333333333333703e-01,2.866666666666666807e-01,7.600000000000000000e+01,6.400000000000000133e-01,1.733333333333333115e-01,2.220000000000000000e+02,4.600000000000000200e-01,8.133333333333332416e-01
1.570000000000000000e+02,9.466666666666666563e-01,3.666666666666666408e-01,8.900000000000000000e+01,5.466666666666666341e-01,6.666666666666666574e-02,2.480000000000000000e+02,5.200000000000000178e-01,8.533333333333333881e-01
1.830000000000000000e+02,7.733333333333333171e-01,3.066666666666666430e-01,1.160000000000000000e+02,5.666666666666666519e-01,2.000000000000000111e-01,2.620000000000000000e+02,4.000000000000000222e-01,8.266666666666666607e-01
2.150000000000000000e+02,7.733333333333333171e-01,1.399999999999999856e-01,1.360000000000000000e+02,4.866666666666666363e-01,6.000000000000002554e-02,2.810000000000000000e+02,5.533333333333333437e-01,9.000000000000000222e-01
2.410000000000000000e+02,8.333333333333333703e-01,3.333333333333333287e-02,1.660000000000000000e+02,5.200000000000000178e-01,2.533333333333332993e-01,3.120000000000000000e+02,3.533333333333333326e-01,8.800000000000000044e-01
2.650000000000000000e+02,7.133333333333332638e-01,1.466666666666666674e-01,1.970000000000000000e+02,4.266666666666666941e-01,1.133333333333333415e-01,3.420000000000000000e+02,5.200000000000000178e-01,9.600000000000000755e-01
2.970000000000000000e+02,7.133333333333332638e-01,2.666666666666666630e-01,2.290000000000000000e+02,4.600000000000000200e-01,2.933333333333333348e-01,3.760000000000000000e+02,6.133333333333332860e-01,9.000000000000000222e-01
3.160000000000000000e+02,9.000000000000000222e-01,4.266666666666666941e-01,2.580000000000000000e+02,3.800000000000000044e-01,7.333333333333330595e-02,3.980000000000000000e+02,3.600000000000000422e-01,9.600000000000000755e-01
3.670000000000000000e+02,7.133333333333332638e-01,3.466666666666666785e-01,3.000000000000000000e+02,3.666666666666666408e-01,2.733333333333333171e-01,4.420000000000000000e+02,3.399999999999999689e-01,8.133333333333332416e-01
4.040000000000000000e+02,6.533333333333334325e-01,2.600000000000000089e-01,3.310000000000000000e+02,3.200000000000000067e-01,1.199999999999999817e-01,4.660000000000000000e+02,2.999999999999999889e-01,9.399999999999999467e-01
4.270000000000000000e+02,6.666666666666666297e-01,4.000000000000000222e-01,3.600000000000000000e+02,3.133333333333333526e-01,2.999999999999999889e-01,4.900000000000000000e+02,3.133333333333333526e-01,7.600000000000000089e-01
4.470000000000000000e+02,5.933333333333333792e-01,3.266666666666667163e-01,3.870000000000000000e+02,4.933333333333333459e-01,3.399999999999999689e-01,5.160000000000000000e+02,2.666666666666666630e-01,9.866666666666666918e-01
4.660000000000000000e+02,6.533333333333334325e-01,4.600000000000000200e-01,4.190000000000000000e+02,3.800000000000000044e-01,3.600000000000000422e-01,5.540000000000000000e+02,4.333333333333333481e-01,9.933333333333334014e-01
4.920000000000000000e+02,5.333333333333333259e-01,4.199999999999999845e-01,4.380000000000000000e+02,5.066666666666665986e-01,4.000000000000000222e-01,5.790000000000000000e+02,2.066666666666666374e-01,9.600000000000000755e-01
5.130000000000000000e+02,6.799999999999999378e-01,5.133333333333333082e-01,4.620000000000000000e+02,5.733333333333333615e-01,2.866666666666666807e-01,6.150000000000000000e+02,3.066666666666666430e-01,7.066666666666666652e-01
5.460000000000000000e+02,6.533333333333334325e-01,2.000000000000000111e-01,4.880000000000000000e+02,6.266666666666667052e-01,2.333333333333333370e-01,6.670000000000000000e+02,2.600000000000000089e-01,6.533333333333334325e-01
5.940000000000000000e+02,6.733333333333333393e-01,5.666666666666666519e-01,5.050000000000000000e+02,6.933333333333333570e-01,1.066666666666666458e-01,6.810000000000000000e+02,3.733333333333332948e-01,7.533333333333334103e-01
6.490000000000000000e+02,9.333333333333333481e-01,4.733333333333333282e-01,5.350000000000000000e+02,4.600000000000000200e-01,6.666666666666642808e-03,7.100000000000000000e+02,2.333333333333333370e-01,5.999999999999999778e-01
7.010000000000000000e+02,6.666666666666666297e-01,6.266666666666667052e-01,5.840000000000000000e+02,3.200000000000000067e-01,5.333333333333332288e-02,7.510000000000000000e+02,1.466666666666666674e-01,8.000000000000000444e-01
7.610000000000000000e+02,9.333333333333333481e-01,5.799999999999999600e-01,6.110000000000000000e+02,2.800000000000000266e-01,3.466666666666666785e-01,7.930000000000000000e+02,1.466666666666666674e-01,9.200000000000000400e-01
8.050000000000000000e+02,9.933333333333334014e-01,4.666666666666666741e-01,6.620000000000000000e+02,4.266666666666666941e-01,4.266666666666666941e-01,8.120000000000000000e+02,8.666666666666665575e-02,8.000000000000000444e-01
8.320000000000000000e+02,9.799999999999999822e-01,6.266666666666667052e-01,6.950000000000000000e+02,2.266666666666666829e-01,3.733333333333332948e-01,8.380000000000000000e+02,9.333333333333335147e-02,9.466666666666666563e-01
8.550000000000000000e+02,9.933333333333334014e-01,4.066666666666666208e-01,7.300000000000000000e+02,3.333333333333333148e-01,4.866666666666666363e-01,8.590000000000000000e+02,2.666666666666668919e-02,7.933333333333333348e-01
8.870000000000000000e+02,9.399999999999999467e-01,6.733333333333333393e-01,7.600000000000000000e+02,2.000000000000000111e-01,4.533333333333333104e-01,8.900000000000000000e+02,3.333333333333333287e-02,9.733333333333332726e-01
9.320000000000000000e+02,7.399999999999999911e-01,6.866666666666667584e-01,7.820000000000000000e+02,2.000000000000000111e-01,3.200000000000000067e-01,9.150000000000000000e+02,8.666666666666665575e-02,7.399999999999999911e-01
9.650000000000000000e+02,6.066666666666666874e-01,6.066666666666666874e-01,8.030000000000000000e+02,1.399999999999999856e-01,4.266666666666666941e-01,9.550000000000000000e+02,1.800000000000000211e-01,5.733333333333333615e-01
9.960000000000000000e+02,6.600000000000000311e-01,7.466666666666665897e-01,8.270000000000000000e+02,1.600000000000000311e-01,2.733333333333333171e-01,9.950000000000000000e+02,1.999999999999998654e-02,6.333333333333333037e-01
1.022000000000000000e+03,9.000000000000000222e-01,7.333333333333332815e-01,8.500000000000000000e+02,8.000000000000001554e-02,4.333333333333333481e-01,1.025000000000000000e+03,7.333333333333330595e-02,5.133333333333333082e-01
1.059000000000000000e+03,7.399999999999999911e-01,8.066666666666666430e-01,8.830000000000000000e+02,8.000000000000001554e-02,2.866666666666666807e-01,1.048000000000000000e+03,2.200000000000000011e-01,5.266666666666667274e-01
1.091000000000000000e+03,9.333333333333333481e-01,7.933333333333333348e-01,9.040000000000000000e+02,1.533333333333333215e-01,2.200000000000000011e-01,1.071000000000000000e+03,1.333333333333334460e-02,7.066666666666666652e-01
1.119000000000000000e+03,8.000000000000000444e-01,8.666666666666666963e-01,9.240000000000000000e+02,1.999999999999998654e-02,3.066666666666666430e-01,1.128000000000000000e+03,2.800000000000000266e-01,5.399999999999999245e-01
1.147000000000000000e+03,9.866666666666666918e-01,8.000000000000000444e-01,9.540000000000000000e+02,2.666666666666668919e-02,4.600000000000000200e-01,1.190000000000000000e+03,1.333333333333333315e-01,9.933333333333334014e-01
1.182000000000000000e+03,9.600000000000000755e-01,9.200000000000000400e-01,9.780000000000000000e+02,8.666666666666665575e-02,1.600000000000000311e-01,1.277000000000000000e+03,6.600000000000000311e-01,9.533333333333333659e-01
1.201000000000000000e+03,9.733333333333332726e-01,7.333333333333332815e-01,1.030000000000000000e+03,2.066666666666666374e-01,1.933333333333333570e-01,1.359000000000000000e+03,6.133333333333332860e-01,8.399999999999999689e-01
1.228000000000000000e+03,9.333333333333333481e-01,9.733333333333332726e-01,1.052000000000000000e+03,9.333333333333335147e-02,1.000000000000000056e-01,1.382000000000000000e+03,7.200000000000000844e-01,9.666666666666666741e-01
1.267000000000000000e+03,8.133333333333332416e-01,9.266666666666666385e-01,1.080000000000000000e+03,2.400000000000000189e-01,1.199999999999999817e-01,1.414000000000000000e+03,3.399999999999999689e-01,5.333333333333333259e-01
1.291000000000000000e+03,6.933333333333333570e-01,8.399999999999999689e-01,1.102000000000000000e+03,1.266666666666666774e-01,3.999999999999997308e-02,2.723000000000000000e+03,4.199999999999999845e-01,5.066666666666665986e-01
1.323000000000000000e+03,7.666666666666667185e-01,1.000000000000000000e+00,1.128000000000000000e+03,2.200000000000000011e-01,2.600000000000000089e-01,nan,nan,nan
1.355000000000000000e+03,5.600000000000000533e-01,5.733333333333333615e-01,1.172000000000000000e+03,2.400000000000000189e-01,3.999999999999997308e-02,nan,nan,nan
1.447000000000000000e+03,9.933333333333334014e-01,1.199999999999999817e-01,1.207000000000000000e+03,3.999999999999997308e-02,7.333333333333330595e-02,nan,nan,nan
1.579000000000000000e+03,8.933333333333333126e-01,6.666666666666642808e-03,1.239000000000000000e+03,1.133333333333333415e-01,4.933333333333333459e-01,nan,nan,nan
1.610000000000000000e+03,5.000000000000000000e-01,5.133333333333333082e-01,1.312000000000000000e+03,4.533333333333333104e-01,4.800000000000000377e-01,nan,nan,nan
nan,nan,nan,1.364000000000000000e+03,5.733333333333333615e-01,6.666666666666642808e-03,nan,nan,nan
nan,nan,nan,1.454000000000000000e+03,0.000000000000000000e+00,6.666666666666642808e-03,nan,nan,nan
