time,delivered,dropped,duplicated,total
8.800000000000000000e+01,8.020000000000000000e+02,4.000000000000000000e+00,5.000000000000000000e+00,8.110000000000000000e+02
8.900000000000000000e+01,8.040000000000000000e+02,5.000000000000000000e+00,5.000000000000000000e+00,8.140000000000000000e+02
9.000000000000000000e+01,8.060000000000000000e+02,6.000000000000000000e+00,5.000000000000000000e+00,8.170000000000000000e+02
9.100000000000000000e+01,8.080000000000000000e+02,7.000000000000000000e+00,5.000000000000000000e+00,8.200000000000000000e+02
9.200000000000000000e+01,8.100000000000000000e+02,8.000000000000000000e+00,5.000000000000000000e+00,8.230000000000000000e+02
9.300000000000000000e+01,8.120000000000000000e+02,9.000000000000000000e+00,5.000000000000000000e+00,8.260000000000000000e+02
9.400000000000000000e+01,8.140000000000000000e+02,1.000000000000000000e+01,5.000000000000000000e+00,8.290000000000000000e+02
9.500000000000000000e+01,8.160000000000000000e+02,1.200000000000000000e+01,5.000000000000000000e+00,8.330000000000000000e+02
9.600000000000000000e+01,8.180000000000000000e+02,1.500000000000000000e+01,5.000000000000000000e+00,8.380000000000000000e+02
9.700000000000000000e+01,8.200000000000000000e+02,1.800000000000000000e+01,5.000000000000000000e+00,8.430000000000000000e+02
9.800000000000000000e+01,8.220000000000000000e+02,2.100000000000000000e+01,5.000000000000000000e+00,8.480000000000000000e+02
9.900000000000000000e+01,8.240000000000000000e+02,2.400000000000000000e+01,5.000000000000000000e+00,8.530000000000000000e+02
1.000000000000000000e+02,8.260000000000000000e+02,2.700000000000000000e+01,5.000000000000000000e+00,8.580000000000000000e+02
1.010000000000000000e+02,8.280000000000000000e+02,3.000000000000000000e+01,5.000000000000000000e+00,8.630000000000000000e+02
1.020000000000000000e+02,8.300000000000000000e+02,3.300000000000000000e+01,5.000000000000000000e+00,8.680000000000000000e+02
1.030000000000000000e+02,8.320000000000000000e+02,3.600000000000000000e+01,5.000000000000000000e+00,8.730000000000000000e+02
1.040000000000000000e+02,8.340000000000000000e+02,4.000000000000000000e+01,5.000000000000000000e+00,8.790000000000000000e+02
1.050000000000000000e+02,8.360000000000000000e+02,4.400000000000000000e+01,5.000000000000000000e+00,8.850000000000000000e+02
1.060000000000000000e+02,8.380000000000000000e+02,4.800000000000000000e+01,5.000000000000000000e+00,8.910000000000000000e+02
1.070000000000000000e+02,8.400000000000000000e+02,5.200000000000000000e+01,5.000000000000000000e+00,8.970000000000000000e+02
1.080000000000000000e+02,8.420000000000000000e+02,5.700000000000000000e+01,5.000000000000000000e+00,9.040000000000000000e+02
1.090000000000000000e+02,8.440000000000000000e+02,6.200000000000000000e+01,5.000000000000000000e+00,9.110000000000000000e+02
1.100000000000000000e+02,8.460000000000000000e+02,6.700000000000000000e+01,5.000000000000000000e+00,9.180000000000000000e+02
1.110000000000000000e+02,8.480000000000000000e+02,7.200000000000000000e+01,5.000000000000000000e+00,9.250000000000000000e+02
1.120000000000000000e+02,8.500000000000000000e+02,7.700000000000000000e+01,5.000000000000000000e+00,9.320000000000000000e+02
1.130000000000000000e+02,8.520000000000000000e+02,8.200000000000000000e+01,5.000000000000000000e+00,9.390000000000000000e+02
1.140000000000000000e+02,8.540000000000000000e+02,8.800000000000000000e+01,5.000000000000000000e+00,9.470000000000000000e+02
1.150000000000000000e+02,8.560000000000000000e+02,9.400000000000000000e+01,5.000000000000000000e+00,9.550000000000000000e+02
1.160000000000000000e+02,8.580000000000000000e+02,1.010000000000000000e+02,5.000000000000000000e+00,9.640000000000000000e+02
1.170000000000000000e+02,8.600000000000000000e+02,1.080000000000000000e+02,5.000000000000000000e+00,9.730000000000000000e+02
1.180000000000000000e+02,8.620000000000000000e+02,1.150000000000000000e+02,5.000000000000000000e+00,9.820000000000000000e+02
1.190000000000000000e+02,8.640000000000000000e+02,1.230000000000000000e+02,5.000000000000000000e+00,9.920000000000000000e+02
1.200000000000000000e+02,8.660000000000000000e+02,1.310000000000000000e+02,5.000000000000000000e+00,1.002000000000000000e+03
1.210000000000000000e+02,8.680000000000000000e+02,1.390000000000000000e+02,5.000000000000000000e+00,1.012000000000000000e+03
1.220000000000000000e+02,8.700000000000000000e+02,1.470000000000000000e+02,5.000000000000000000e+00,1.022000000000000000e+03
1.230000000000000000e+02,8.720000000000000000e+02,1.550000000000000000e+02,5.000000000000000000e+00,1.032000000000000000e+03
1.240000000000000000e+02,8.770000000000000000e+02,1.630000000000000000e+02,5.000000000000000000e+00,1.045000000000000000e+03
1.250000000000000000e+02,8.820000000000000000e+02,1.710000000000000000e+02,5.000000000000000000e+00,1.058000000000000000e+03
1.260000000000000000e+02,8.850000000000000000e+02,1.790000000000000000e+02,7.000000000000000000e+00,1.071000000000000000e+03
1.270000000000000000e+02,8.890000000000000000e+02,1.870000000000000000e+02,8.000000000000000000e+00,1.084000000000000000e+03
1.280000000000000000e+02,8.920000000000000000e+02,1.950000000000000000e+02,1.000000000000000000e+01,1.097000000000000000e+03
1.290000000000000000e+02,8.960000000000000000e+02,2.030000000000000000e+02,1.100000000000000000e+01,1.110000000000000000e+03
1.300000000000000000e+02,8.990000000000000000e+02,2.110000000000000000e+02,1.300000000000000000e+01,1.123000000000000000e+03
1.310000000000000000e+02,9.030000000000000000e+02,2.190000000000000000e+02,1.400000000000000000e+01,1.136000000000000000e+03
1.320000000000000000e+02,9.060000000000000000e+02,2.270000000000000000e+02,1.600000000000000000e+01,1.149000000000000000e+03
1.330000000000000000e+02,9.110000000000000000e+02,2.350000000000000000e+02,1.700000000000000000e+01,1.163000000000000000e+03
1.340000000000000000e+02,9.170000000000000000e+02,2.430000000000000000e+02,1.700000000000000000e+01,1.177000000000000000e+03
1.350000000000000000e+02,9.210000000000000000e+02,2.510000000000000000e+02,1.900000000000000000e+01,1.191000000000000000e+03
1.360000000000000000e+02,9.250000000000000000e+02,2.590000000000000000e+02,2.100000000000000000e+01,1.205000000000000000e+03
1.370000000000000000e+02,9.300000000000000000e+02,2.670000000000000000e+02,2.200000000000000000e+01,1.219000000000000000e+03
1.380000000000000000e+02,9.340000000000000000e+02,2.750000000000000000e+02,2.400000000000000000e+01,1.233000000000000000e+03
1.390000000000000000e+02,9.370000000000000000e+02,2.830000000000000000e+02,2.700000000000000000e+01,1.247000000000000000e+03
1.400000000000000000e+02,9.400000000000000000e+02,2.910000000000000000e+02,3.000000000000000000e+01,1.261000000000000000e+03
1.410000000000000000e+02,9.450000000000000000e+02,2.990000000000000000e+02,3.100000000000000000e+01,1.275000000000000000e+03
1.420000000000000000e+02,9.500000000000000000e+02,3.070000000000000000e+02,3.200000000000000000e+01,1.289000000000000000e+03
1.430000000000000000e+02,9.550000000000000000e+02,3.150000000000000000e+02,3.300000000000000000e+01,1.303000000000000000e+03
1.440000000000000000e+02,9.590000000000000000e+02,3.230000000000000000e+02,3.500000000000000000e+01,1.317000000000000000e+03
1.450000000000000000e+02,9.620000000000000000e+02,3.310000000000000000e+02,3.800000000000000000e+01,1.331000000000000000e+03
1.460000000000000000e+02,9.650000000000000000e+02,3.390000000000000000e+02,4.100000000000000000e+01,1.345000000000000000e+03
1.470000000000000000e+02,9.690000000000000000e+02,3.470000000000000000e+02,4.300000000000000000e+01,1.359000000000000000e+03
1.480000000000000000e+02,9.730000000000000000e+02,3.550000000000000000e+02,4.500000000000000000e+01,1.373000000000000000e+03
1.490000000000000000e+02,9.780000000000000000e+02,3.630000000000000000e+02,4.600000000000000000e+01,1.387000000000000000e+03
1.500000000000000000e+02,9.830000000000000000e+02,3.710000000000000000e+02,4.700000000000000000e+01,1.401000000000000000e+03
1.510000000000000000e+02,9.880000000000000000e+02,3.790000000000000000e+02,4.800000000000000000e+01,1.415000000000000000e+03
1.520000000000000000e+02,9.920000000000000000e+02,3.870000000000000000e+02,5.000000000000000000e+01,1.429000000000000000e+03
1.530000000000000000e+02,9.950000000000000000e+02,3.950000000000000000e+02,5.300000000000000000e+01,1.443000000000000000e+03
1.540000000000000000e+02,9.980000000000000000e+02,4.030000000000000000e+02,5.600000000000000000e+01,1.457000000000000000e+03
1.550000000000000000e+02,1.002000000000000000e+03,4.110000000000000000e+02,5.800000000000000000e+01,1.471000000000000000e+03
1.560000000000000000e+02,1.006000000000000000e+03,4.190000000000000000e+02,6.000000000000000000e+01,1.485000000000000000e+03
1.570000000000000000e+02,1.011000000000000000e+03,4.270000000000000000e+02,6.100000000000000000e+01,1.499000000000000000e+03
1.580000000000000000e+02,1.016000000000000000e+03,4.350000000000000000e+02,6.200000000000000000e+01,1.513000000000000000e+03
1.590000000000000000e+02,1.019000000000000000e+03,4.430000000000000000e+02,6.500000000000000000e+01,1.527000000000000000e+03
1.600000000000000000e+02,1.021000000000000000e+03,4.510000000000000000e+02,6.900000000000000000e+01,1.541000000000000000e+03
1.610000000000000000e+02,1.026000000000000000e+03,4.590000000000000000e+02,7.000000000000000000e+01,1.555000000000000000e+03
1.620000000000000000e+02,1.030000000000000000e+03,4.670000000000000000e+02,7.200000000000000000e+01,1.569000000000000000e+03
1.630000000000000000e+02,1.033000000000000000e+03,4.750000000000000000e+02,7.400000000000000000e+01,1.582000000000000000e+03
1.640000000000000000e+02,1.036000000000000000e+03,4.830000000000000000e+02,7.600000000000000000e+01,1.595000000000000000e+03
