time,cdf
1.499000000000000000e+03,4.059678052610914967e-01
1.500000000000000000e+03,4.064585787200628020e-01
1.501000000000000000e+03,4.069493521790341628e-01
1.502000000000000000e+03,4.074401256380055236e-01
1.503000000000000000e+03,4.079308990969768289e-01
1.504000000000000000e+03,4.084216725559481898e-01
1.505000000000000000e+03,4.089124460149194951e-01
1.506000000000000000e+03,4.093050647820966059e-01
1.507000000000000000e+03,4.096976835492736613e-01
1.508000000000000000e+03,4.100903023164507166e-01
1.509000000000000000e+03,4.105810757754220774e-01
1.510000000000000000e+03,4.110718492343933828e-01
1.511000000000000000e+03,4.115626226933647436e-01
1.512000000000000000e+03,4.120533961523361044e-01
1.513000000000000000e+03,4.124460149195131597e-01
1.514000000000000000e+03,4.129367883784844651e-01
1.515000000000000000e+03,4.134275618374558259e-01
1.516000000000000000e+03,4.139183352964271867e-01
1.517000000000000000e+03,4.145072634471927975e-01
1.518000000000000000e+03,4.150961915979584083e-01
1.519000000000000000e+03,4.156851197487239635e-01
1.520000000000000000e+03,4.162740478994895743e-01
1.521000000000000000e+03,4.168629760502551851e-01
1.522000000000000000e+03,4.174519042010207959e-01
1.523000000000000000e+03,4.180408323517864067e-01
1.524000000000000000e+03,4.186297605025520174e-01
1.525000000000000000e+03,4.192186886533176282e-01
1.526000000000000000e+03,4.198076168040832390e-01
1.527000000000000000e+03,4.203965449548488498e-01
1.528000000000000000e+03,4.209854731056144606e-01
1.529000000000000000e+03,4.216725559481743213e-01
1.530000000000000000e+03,4.223596387907341820e-01
1.531000000000000000e+03,4.230467216332940983e-01
1.532000000000000000e+03,4.237338044758539590e-01
1.533000000000000000e+03,4.244208873184138198e-01
1.534000000000000000e+03,4.251079701609736805e-01
1.535000000000000000e+03,4.257950530035335412e-01
1.536000000000000000e+03,4.264821358460934575e-01
1.537000000000000000e+03,4.270710639968590683e-01
1.538000000000000000e+03,4.276599921476246791e-01
1.539000000000000000e+03,4.282489202983902898e-01
1.540000000000000000e+03,4.289360031409501506e-01
1.541000000000000000e+03,4.296230859835100113e-01
1.542000000000000000e+03,4.303101688260698721e-01
1.543000000000000000e+03,4.309972516686297328e-01
1.544000000000000000e+03,4.315861798193953436e-01
1.545000000000000000e+03,4.321751079701609544e-01
1.546000000000000000e+03,4.327640361209265651e-01
1.547000000000000000e+03,4.333529642716921759e-01
1.548000000000000000e+03,4.339418924224577867e-01
1.549000000000000000e+03,4.346289752650176474e-01
1.550000000000000000e+03,4.353160581075775637e-01
1.551000000000000000e+03,4.360031409501374244e-01
1.552000000000000000e+03,4.366902237926972852e-01
1.553000000000000000e+03,4.373773066352571459e-01
1.554000000000000000e+03,4.380643894778170622e-01
1.555000000000000000e+03,4.387514723203769229e-01
1.556000000000000000e+03,4.394385551629367836e-01
1.557000000000000000e+03,4.401256380054966444e-01
1.558000000000000000e+03,4.408127208480565606e-01
1.559000000000000000e+03,4.414998036906164214e-01
1.560000000000000000e+03,4.421868865331762821e-01
1.561000000000000000e+03,4.428739693757361429e-01
1.562000000000000000e+03,4.435610522182960591e-01
1.563000000000000000e+03,4.442481350608559199e-01
1.564000000000000000e+03,4.449352179034157806e-01
1.565000000000000000e+03,4.456223007459756413e-01
1.566000000000000000e+03,4.463093835885355576e-01
1.567000000000000000e+03,4.469964664310954183e-01
1.568000000000000000e+03,4.476835492736552791e-01
1.569000000000000000e+03,4.483706321162151398e-01
